Comment,Designator,Footprint,LCSC
LTC2990,U1,MSOP-10_3x3mm_P0.5mm,C107804
1k 0.1%,"R23,R24,R25",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C110774
22,"RN10,RN3,RN4,RN5,RN6,RN7,RN8,RN9",R_Array_Convex_4x0603,C12008
10uF,"C39,C40,C42,C43",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
XC95144XL-TQ144,U2,TQFP-144_20x20mm_P0.5mm,C1521137
SN74CB3T3245PW,"U15,U16,U17,U18,U3",TSSOP-20_4.4x6.5mm_P0.65mm,C15298
1k2,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17379
100,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408
10k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
120,R19,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17437
1k,"R14,R16,R20,R21,R5,R6,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
33,"R10,R28,R29,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17634
4k7,"R1,R17,R18,R3,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
680,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17798
1k,"RN1,RN11,RN12,RN13,RN14,RN15,RN16,RN17,RN18,RN19,RN2,RN20,RN21,RN22",R_Array_Convex_4x0603,C20197
BU4942,U1B1,TSOP-5_1.65x3.05mm_P0.95mm,C2067989
22uF,"C26,C27,C28,C41,C61,C62",CP_Elec_6.3x3.9,C2761583
74FCT543A,"U10,U11,U12,U13,U14,U6,U7,U8,U9",SOIC-24W_7.5x15.4mm_P1.27mm,C2863309
7407,U5,SOIC-14_3.9x8.7mm_P1.27mm,C40481
LED_Small_Red,D2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C434438
LED_Small_Green,D1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C434442
100nF,"C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C29,C3,C30,C31,C32,C33,C34,C35,C36,C37,C38,C4,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C63,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
9k 0.1%,"R22,R26,R27,R30",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C868262
Ferrite_Bead_Small,FB1,Fuse_1806_4516Metric_Pad1.57x1.80mm_HandSolder,C88998
Jumper_NO_Small,JP1,PinHeader_1x03_P2.54mm_Horizontal,
Jumper_NO_Small,JP2,PinHeader_1x03_P2.54mm_Vertical,
Conn_02x07_Odd_Even,J2,IDC-Header_2x07_P2.54mm_Vertical,
Jumper_2_Open,J1,PinHeader_1x02_P2.54mm_Vertical,
Jumper_NO_Small,JP3,PinHeader_1x03_P2.54mm_Horizontal,
Jumper_3_Open,JP7,PinHeader_1x03_P2.54mm_Vertical,
LT1084-3.3_EXTENDED,VR1,Regulador_DCDC,
Jumper_3_Open,JP6,PinHeader_1x03_P2.54mm_Vertical,
MC68060,U4,PGA226,
Conn_02x40_Odd_Even,CN2,PinHeader_2x40_P1.27mm_Vertical,
Conn_02x40_Odd_Even,CN3,PinHeader_2x40_P1.27mm_Vertical,
KEL-8817-200-170S-F,CN1,xIP-200,
