Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.0572,-85.9536,-90,top
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.62,-75.311,180,bottom
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.7547,-110.2106,180,bottom
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,247.9548,-115.2398,180,bottom
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.7547,-106.4006,180,bottom
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,247.9548,-118.9228,180,bottom
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-58.2295,270,bottom
C16,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,207.772,-61.849,180,bottom
C17,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-63.3095,270,bottom
C18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,228.854,-66.929,0,bottom
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,213.233,-66.929,180,bottom
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.381,-56.896,180,bottom
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,223.393,-66.929,180,bottom
C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.87,-52.705,270,bottom
C22,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,207.794,-66.929,180,bottom
C23,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,218.313,-66.929,180,bottom
C24,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.101,-54.245,0,top
C25,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.2744,-62.2808,90,top
C26,22uF,CP_Elec_6.3x5.4,104.6277,-108.3056,0,top
