"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U5";"SOIC-14_3.9x8.7mm_P1.27mm";1;"7407";;;
2;"JP1,JP2,JP3";"PinHeader_1x02_P2.54mm_Vertical";3;"Jumper_NO_Small";;;
3;"U2";"TQFP-144_20x20mm_P0.5mm";1;"XC95144XL-TQ144";;;
4;"C26,C27,C62,C28,C61,C41";"C_Elec_5x5.4";6;"22uF";;;
5;"C25,C37,C24,C29,C30,C31,C32,C34,C35,C36,C33,C38,C50,C51,C53,C55,C54,C56,C1,C58,C60,C57,C59,C12,C47,C11,C48,C13,C14,C2,C5,C6,C7,C8,C9,C18,C19,C23,C20,C15,C21,C22,C17,C16,C3,C4,C44,C52,C46,C49,C10,C45,C63";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";53;"100nF";;;
6;"R3,R18,R4,R1,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"4k7";;;
7;"C400A1";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"NC";;;
8;"U1A1";"SOT-89-3_Handsoldering";1;"RH5VA43A";;;
9;"R9,R10,R28,R29";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"33";;;
10;"U12,U7,U8,U11,U6,U10,U14,U13,U9";"SOIC-24W_7.5x15.4mm_P1.27mm";9;"74FCT543A";;;
11;"J2";"IDC-Header_2x07_P2.54mm_Vertical";1;"Conn_02x07_Odd_Even";;;
12;"X1";"Oscillator_SMD_IQD_IQXO70-4Pin_7.5x5.0mm";1;"IQXO-70";;;
13;"C39,C40,C42,C43";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"10uF";;;
14;"H1,H2,H4,H3";"MountingHole_4mm";4;"MountingHole";;;
15;"H5,H6,H7,H8";"MountingHole_2.2mm_M2";4;"MountingHole";;;
16;"D1,D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LED_Small";;;
17;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"680";;;
18;"R16,R21,R20,R6,R7,R8,R5,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"1k";;;
19;"FB1";"Fuse_1806_4516Metric_Pad1.57x1.80mm_HandSolder";1;"Ferrite_Bead_Small";;;
20;"TP1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"+3V3";;;
21;"TP8";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"GND";;;
22;"TP9,DBG2,DBG3,DBG1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";4;"PCLK";;;
23;"TP10";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"CLK90";;;
24;"TP11";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"CPUCLK";;;
25;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k2";;;
26;"JP4,JP5";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"BRIDGE_3V3";;;
27;"JP9,JP10,JP8,JP11,JP12";"SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels";5;"SolderJumper_3_Bridged12";;;
28;"U3,U16,U15,U18,U17";"TSSOP-20_4.4x6.5mm_P0.65mm";5;"SN74CB3T3245PW";;;
29;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
30;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120";;;
31;"U1B1";"TSOP-5_1.65x3.05mm_P0.95mm";1;"BU4942";;;
32;"JP7,JP6";"PinHeader_1x03_P2.54mm_Vertical";2;"Jumper_3_Open";;;
33;"VR1";"Regulador_DCDC";1;"LT1084-3.3_EXTENDED";;;
34;"TP4";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"+5V";;;
35;"U4";"PGA226";1;"MC68060";;;
36;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
37;"RN11,RN12,RN8,RN1,RN7,RN9,RN10";"R_Array_Convex_8x0602";7;"1k";;;
38;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
39;"RN3,RN5,RN6,RN4";"R_Array_Convex_8x0602";4;"22";;;
40;"CN2,CN3";"PinHeader_2x40_P1.27mm_Vertical";2;"Conn_02x40_Odd_Even";;;
41;"CN1";"xIP-200";1;"KEL-8817-200-170S-F";;;
42;"R23,R25,R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k 0.1%";;;
43;"R30,R22,R26,R27";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"9k 0.1%";;;
44;"U1";"MSOP-10_3x3mm_P0.5mm";1;"LTC2990";;;
45;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"NC";;;
