"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U5";"SOIC-14_3.9x8.7mm_P1.27mm";1;"7407";;;
2;"JP1,JP2,JP3";"PinHeader_1x02_P2.54mm_Vertical";3;"Jumper_NO_Small";;;
3;"U2";"TQFP-144_20x20mm_P0.5mm";1;"XC95144XL-TQ144";;;
4;"C26,C27,C102E1,C28,C102B1";"C_Elec_5x5.4";5;"22uF";;;
5;"C25,C37,C24,C29,C30,C31,C32,C34,C35,C36,C33,C38,C50,C51,C53,C55,C54,C56,C1,C58,C60,C57,C59,C12,C47,C11,C48,C13,C14,C2,C5,C6,C7,C8,C9,C18,C19,C23,C20,C15,C21,C22,C17,C16,C3,C4,C44,C52,C46,C49,C10,C45";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";52;"100nF";;;
6;"R2,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"NC";;;
7;"C400A1";"C_1812_4532Metric_Pad1.57x3.40mm_HandSolder";1;"NC";;;
8;"U1";"SOT-89-3_Handsoldering";1;"RH5VA43A";;;
9;"R8A1,R25A1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
10;"R9,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"33";;;
11;"U12,U7,U8,U11,U6,U10,U14,U13,U9";"SOIC-24W_7.5x15.4mm_P1.27mm";9;"74FCT543A";;;
12;"R25B1,R100A1,R8B1,R100B1,R13A1,R13B1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"0";;;
13;"J2";"IDC-Header_2x07_P2.54mm_Vertical";1;"Conn_02x07_Odd_Even";;;
14;"X1";"Oscillator_SMD_IQD_IQXO70-4Pin_7.5x5.0mm";1;"IQXO-70";;;
15;"C41";"C_Elec_5x5.4";1;"10uF";;;
16;"C39,C40,C42,C43";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"10uF";;;
17;"H1,H2,H4,H3";"MountingHole_4mm";4;"MountingHole";;;
18;"H5,H6,H7";"MountingHole_2.2mm_M2";3;"MountingHole";;;
19;"D1,D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"LED_Small";;;
20;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"680";;;
21;"R16,R6,R7,R8,R5,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"1k";;;
22;"FB1";"Fuse_1806_4516Metric_Pad1.57x1.80mm_HandSolder";1;"Ferrite_Bead_Small";;;
23;"TP9";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"+3V3";;;
24;"TP10";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"GND";;;
25;"TP11";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"PCLK";;;
26;"TP12";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"CLK90";;;
27;"TP13";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"CPUCLK";;;
28;"RN2,RN11,RN12,RN8,RN1,RN7,RN9,RN10";"R_Array_Convex_8x0602";8;"1k";;;
29;"TP1,TP2,TP3,TP4,TP5,TP7,TP6";"TestPoint_Pad_1.0x1.0mm";7;"TestPoint_Small";;;
30;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k2";;;
31;"JP5,JP4";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"BRIDGE_3V3";;;
32;"U3,U16,U15,U18,U17";"TSSOP-20_4.4x6.5mm_P0.65mm";5;"SN74CB3T3245PW";;;
33;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper_2_Open";;;
34;"R18,R1,R17,R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"4k7";;;
35;"VR1";"Regulador_DCDC";1;"LT1084-3.3_EXTENDED";;;
36;"TP8";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"+5V";;;
37;"U4";"PGA226";1;"MC68060";;;
38;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
39;"RN3,RN5,RN6,RN4";"R_Array_Convex_8x0602";4;"22";;;
40;"CN2,CN3";"PinHeader_2x40_P1.27mm_Vertical";2;"Conn_02x40_Odd_Even";;;
41;"CN1";"xIP-200";1;"KEL-8817-200-170S-F";;;
